Company,Refunded Payments,Free Trial Ending Email Reminder ,Money Lost
Netflix,FALSE,FALSE,$15.49
Daily Harvest,FALSE,TRUE,0
Ancestry.com,FALSE,FALSE,$24.99
Vimeo,FALSE,FALSE,$161.55
Adobe,TRUE,FALSE,0
Paramount Plus,FALSE,FALSE,$11.99
Savage Fenty,n/a,FALSE,0
Amazon Subscribe and Save,n/a,TRUE,$0.57
Deliveroo Silver plus,FALSE,FALSE,$9.96
Express VPN,FALSE,TRUE,$12.95
Hulu Disney Bundle,FALSE,TRUE,$13.99
New York Times,FALSE,TRUE,$12.47
Boston Globe,FALSE,TRUE,$83.16
Care2Petition,FALSE,TRUE,0
