id,x,y,w,h
coin1,0,0,1152,1152
coin10,128,0,1152,1152
coin11,0,128,1152,1152
coin12,128,128,1152,1152
coin13,256,0,1152,1152
coin14,256,128,1152,1152
coin15,0,256,1152,1152
coin16,128,256,1152,1152
coin2,256,256,1152,1152
coin3,384,0,1152,1152
coin4,384,128,1152,1152
coin5,384,256,1152,1152
coin6,0,384,1152,1152
coin7,128,384,1152,1152
coin8,256,384,1152,1152
coin9,384,384,1152,1152
idle1,512,0,1152,1152
idle10,512,128,1152,1152
idle11,512,256,1152,1152
idle12,512,384,1152,1152
idle13,0,512,1152,1152
idle14,128,512,1152,1152
idle15,256,512,1152,1152
idle16,384,512,1152,1152
idle2,512,512,1152,1152
idle3,640,0,1152,1152
idle4,640,128,1152,1152
idle5,640,256,1152,1152
idle6,640,384,1152,1152
idle7,640,512,1152,1152
idle8,0,640,1152,1152
idle9,128,640,1152,1152
jump1,256,640,1152,1152
jump10,384,640,1152,1152
jump11,512,640,1152,1152
jump12,640,640,1152,1152
jump13,768,0,1152,1152
jump14,768,128,1152,1152
jump15,768,256,1152,1152
jump16,768,384,1152,1152
jump2,768,512,1152,1152
jump3,768,640,1152,1152
jump4,0,768,1152,1152
jump5,128,768,1152,1152
jump6,256,768,1152,1152
jump7,384,768,1152,1152
jump8,512,768,1152,1152
jump9,640,768,1152,1152
shock1,768,768,1152,1152
shock10,896,0,1152,1152
shock11,896,128,1152,1152
shock12,896,256,1152,1152
shock13,896,384,1152,1152
shock14,896,512,1152,1152
shock15,896,640,1152,1152
shock16,896,768,1152,1152
shock2,0,896,1152,1152
shock3,128,896,1152,1152
shock4,256,896,1152,1152
shock5,384,896,1152,1152
shock6,512,896,1152,1152
shock7,640,896,1152,1152
shock8,768,896,1152,1152
shock9,896,896,1152,1152
walk1,1024,0,1152,1152
walk2,1024,128,1152,1152
walk3,1024,256,1152,1152
walk4,1024,384,1152,1152
walk5,1024,512,1152,1152
walk6,1024,640,1152,1152
walk7,1024,768,1152,1152
walk8,1024,896,1152,1152
win1,0,1024,1152,1152
win2,128,1024,1152,1152
win3,256,1024,1152,1152
win4,384,1024,1152,1152
